Date,Price
7/4/2018,63.2333
7/3/2018,63.1266
7/2/2018,63.4293
6/29/2018,62.7338
6/28/2018,62.8012
6/27/2018,63.2109
6/26/2018,63.0303
6/25/2018,62.7825
6/22/2018,62.8773
6/21/2018,63.7063
6/20/2018,63.6888
6/19/2018,63.8736
6/18/2018,63.4583
6/15/2018,63.188
6/14/2018,62.6085
6/13/2018,62.5049
6/11/2018,62.8155
6/9/2018,62.5143
6/8/2018,62.3193
6/7/2018,62.4179
6/6/2018,61.7848
6/5/2018,62.1456
6/4/2018,62.0607
6/1/2018,62.2012
5/31/2018,62.403
5/30/2018,62.0777
5/29/2018,62.8181
5/28/2018,62.2991
5/25/2018,62.2765
5/24/2018,61.6104
5/23/2018,61.3504
5/22/2018,61.2143
5/21/2018,61.6018
5/18/2018,62.2749
5/17/2018,62.1747
5/16/2018,61.7229
5/15/2018,62.3277
5/14/2018,61.8468
5/11/2018,61.9193
5/10/2018,61.71
5/8/2018,63.2083
5/7/2018,62.9264
5/4/2018,62.5452
5/3/2018,63.0305
5/2/2018,64.0141
4/30/2018,62.9408
4/28/2018,62.2628
4/27/2018,62.1468
4/26/2018,62.7207
4/25/2018,62.4365
4/24/2018,61.6169
4/23/2018,61.8073
4/20/2018,61.3989
4/19/2018,60.8735
4/18/2018,60.8345
4/17/2018,61.5287
4/16/2018,61.1455
4/13/2018,62.0141
4/12/2018,62.0033
4/11/2018,62.5825
4/10/2018,63.0382
4/9/2018,60.6508
4/6/2018,58.1605
4/5/2018,57.701
4/4/2018,57.4433
4/3/2018,57.5754
4/2/2018,57.4961
3/30/2018,57.1444
3/29/2018,57.2599
3/28/2018,57.7175
3/27/2018,57.514
3/26/2018,57.1677
3/23/2018,57.2738
3/22/2018,57.2432
3/21/2018,56.8775
3/20/2018,57.5115
3/19/2018,57.8321
3/16/2018,57.4925
3/15/2018,57.4571
3/14/2018,57.1378
3/13/2018,57.0321
3/12/2018,56.8865
3/9/2018,56.6574
3/7/2018,56.8026
3/6/2018,56.6653
3/5/2018,56.4175
3/2/2018,56.8092
3/1/2018,56.8218
2/28/2018,56.3291
2/27/2018,56.2801
2/26/2018,55.7134
2/22/2018,56.5174
2/21/2018,56.7495
2/20/2018,56.5621
2/19/2018,56.471
2/16/2018,56.3906
2/15/2018,56.4008
2/14/2018,56.7102
2/13/2018,57.6292
2/12/2018,57.8294
2/9/2018,58.3863
2/8/2018,58.4188
2/7/2018,57.611
2/6/2018,56.8765
2/5/2018,57.2066
2/2/2018,56.5501
2/1/2018,55.9171
1/31/2018,56.2075
1/30/2018,56.3823
1/29/2018,56.3178
1/26/2018,56.2572
1/25/2018,55.9244
1/24/2018,56.178
1/23/2018,56.3553
1/22/2018,56.5021
1/19/2018,56.7174
1/18/2018,56.5177
1/17/2018,56.7504
1/16/2018,56.5307
1/15/2018,56.3352
1/12/2018,56.6433
1/11/2018,56.4285
1/10/2018,57.0222
1/9/2018,56.993
1/5/2018,56.9903
1/4/2018,56.8765
1/3/2018,57.2561
12/29/2017,57.6114
12/28/2017,57.5153
12/27/2017,57.7424
12/26/2017,57.623
12/25/2017,57.9674
12/22/2017,58.3697
12/21/2017,58.4615
12/20/2017,58.7035
12/19/2017,58.7743
12/18/2017,58.6635
12/15/2017,58.8009
12/14/2017,58.7556
12/13/2017,58.619
12/12/2017,59.296
12/11/2017,58.9983
12/8/2017,59.1639
12/7/2017,59.1867
12/6/2017,59.218
12/5/2017,58.7367
12/4/2017,58.8003
12/1/2017,58.896
11/30/2017,58.438
11/29/2017,58.6144
11/28/2017,58.3803
11/27/2017,58.4853
11/24/2017,58.3732
11/23/2017,58.4456
11/22/2017,58.5001
11/21/2017,59.1888
11/20/2017,59.3469
11/17/2017,59.0623
11/16/2017,59.6749
11/15/2017,60.2027
11/14/2017,60.2303
11/13/2017,59.3625
11/10/2017,59.2115
11/9/2017,59.2894
11/8/2017,59.2551
11/7/2017,59.3594
11/3/2017,59.08
11/2/2017,58.1619
11/1/2017,58.2807
10/31/2017,58.3289
10/30/2017,57.9716
10/27/2017,58.068
10/26/2017,57.856
10/25/2017,57.7552
10/24/2017,57.6412
10/23/2017,57.548
10/20/2017,57.4945
10/19/2017,57.2734
10/18/2017,57.4379
10/17/2017,57.2975
10/16/2017,57.3217
10/13/2017,57.174
10/12/2017,57.6879
10/11/2017,57.831
10/10/2017,57.9808
10/9/2017,58.347
10/6/2017,58.188
10/5/2017,57.6916
10/4/2017,57.6845
10/3/2017,57.9168
10/2/2017,57.899
9/29/2017,57.4898
9/28/2017,57.9127
9/27/2017,58.1983
9/26/2017,57.8226
9/25/2017,57.571
9/22/2017,57.4783
9/21/2017,57.901
9/20/2017,58.1041
9/19/2017,58.1302
9/18/2017,58.1199
9/15/2017,57.6329
9/14/2017,57.4996
9/13/2017,57.9559
9/12/2017,57.7056
9/11/2017,57.2123
9/8/2017,57.357
9/7/2017,56.9
9/6/2017,57.3641
9/5/2017,57.527
